"page_name","funding_entity"
"Senator Elaine Phillips","NYS SRCC"
"Jen Mangrum for NC Senate","the North Carolina Democratic Party and Jen Mangrum for NC."
"Helen Probst Mills","the North Carolina Democratic Party and Committee to Elect Helen Probst Mills."
"Common Sense Civics and Citizenship","Candace Donnelly, Common Sense Civics and Citizenship"
"Sivoli For Senate","the North Carolina Democratic Party and Committee to Elect Jean Sivoli."
"Joseph “Joe” Webb for NC Senate District 6","the North Carolina Democratic Party and Committee to Elect Joe Webb NC Senate 6."
"Adam Matkowsky for Colorado State Senate","Adam Matkowsky for Colorado"
"Scott Beck StJ","Scott Beck for House"
"Steve Weichert for AZ Senate","Steve Weichert for AZ Senate. Authorized by Steve Weichert. "
"Mike Watson for Virginia","Friends of Mike Watson"
"Just CARE: Campus Action for Reproductive Equity","justCARE"
"Elect Jeff Griffith for State Senate District 38","Jeff Griffith for State Senate 2018 FPPC #1402219"
"Get the Facts on John Mannion","New York State Senate Republican Campaign Committee"
"Norm Bossert","the North Carolina Democratic Party and Bossert for State Senate."
"Don Davis","the North Carolina Democratic Party and Don Davis for NC Senate."
"Science for Humans and Freedom Institute",NA
"Senator Carl Marcellino","NYS SRCC"
"Chris Elliott for State Senate","Chris Elliot for State Senate"
"Friends of Kevin D. Heitke","Friends of Kevin D. Heitke"
"Marsy's Law for Georgia","Marsy’s Law for Georgia, LLC Henry T Nicholas, Chair"
"Mike Armano for State Senate","Committee to Elect Mike Armano"
"Steve McClure for State Senate","Friends of Steve McClure"
"Momentitiousness","Jason Leclerc, Principal. ARC-American Radical Centrist Party"
"Mike Yin for WY House District 16","the Committee to Elect Mike Yin"
"Eric Tomlinson for Oklahoma State Senate",NA
"Rebuild Louisiana","Rebuild Louisiana"
"Illinois Economic Policy Institute","Illinois Economic Policy Institute"
"Freedom Action Network of South Carolina","Freedom Action Network of South Carolina"
"Scott Dianda","Scott Dianda for State Senate"
"JD Wooten for NC Senate","the North Carolina Democratic Party and Citizens for JD Wooten."
"Jenn Alford-Teaster for NH State Senate","Friends of Jenn Alford-Teaster"
"Ohio Senate Democrats - Campaign Team","Ohio Senate Democratic Caucus"
"Jordan Youngberg for SD Senate","Jordan Youngberg for Senate"
"Erin Wienner State Representative","Friends of Erin Wienner"
"Senator Ling Ling Chang","Senator Ling Ling Chang"
"Elliott Adams - Kansas Candidate for US Senate 2020","Elliott Adams for Senate Committee, Elliott Adams Treasurer"
"Stephanie Hansen for Senate","Friends of Hansen"
"Bob Ballinger for Arkansas State Senate","Bob Ballinger for State Senate."
"Texas Gun Rights","Texas Gun Rights"
"Kevin Daley for State Senate","Kevin Daley for State Senate"
"Amy Scott Wasyluka for State Senate",NA
"Alzheimer's Association: Alabama Chapter",NA
"Elaine Phillips for NY Senate","New York State SRCC"
"Senator Sue Serino","Serino 4 NY"
"Julia Kirt for State Senate","Friends of Julia Kirt 2018"
"Rocky Mountain Gun Owners - Official Page","RMGO Super PAC"
"South Dakota Right to Life Political Action Committee",NA
"Re-Elect Senator Rich Funke","Friends of Rich Funke"
"Elect Debbie Nez Manuel","Debbie Nez Manuel for AZ Senate and Authorized by Debbie Nez Manuel"
"PSEA - PA State Education Association","PA State Education Association (PSEA)"
"The Million Voter March","Irene Gonzalez"
"State of Corruption NH",NA
"NO New Oklahoma TAXES","No New Oklahoma Taxes"
"Bekah Halat","Bekah Halat for State Senate"
"National Animal Rights Day - Seattle",NA
"John Morrissey for New Hampshire","John Morrissey"
"Mannion for State Senate","Mannion for State Senate"
"U.S. Chamber of Commerce","U.S. Chamber of Commerce"
"Wisconsin State Senate Democratic Committee","State Senate Democratic Committee"
"Fred Durhal for State Senator","Fred Durhal for State Senate"
"Martz for NY State Senate","Emily Martz for NY State Senate"
"Mark Phariss for SD 8","Mark Phariss for State Senate"
"Andy Gottlieb for State Senate",NA
"Ihlenfeld for State Senate","Ihlenfeld for Senate"
"Black Rose / Rosa Negra - Anarchist Federation","Black Rose / Rosa Negra (BRRN)"
"Jackie Chretien for NH State Rep","Jacqueline Chretien for New Hampshire"
"Frank Esposito for Maryland Senate District 35","Committee to elect Frank Esposito for Maryland State Senate District 35"
"Roland Gutierrez for Texas Senate","Roland Gutierrez Campaign"
"McLeod County Republican Party","McLeod County Republicans"
"Louie Luchini for Maine State Senate",NA
"Al Redmer Jr","Friends of Al Redmer, Jr., Robert Liberto, CPA, Treasurer."
"Parents Education Association","Parents Education Association PAC"
"Meeker County Republican Party","Weston Francis Edwards"
"Mark McKenney","Friends of Mark McKenney"
"Alana DiMario for RI State Senate - District 36","Friends of Alana DiMario"
"Elect Cory McCray","Friends Of Cory McCray"
"Matt Lesser for State Senate","Paid for by Matt for State Senate, Gene P. Nocera Treasurer; Approved by Matt Lesser"
"Sue Chalifoux Zephir for State Senate","The Committee to Elect Sue Chalifoux Zephir"
"Contrariana","Contrariana"
"SUJO Home","Odeon Media Inc."
"Theo Kennedy for Washington County Senate","Theo Kennedy for Senate"
"AFSCME","American Federation of State, County and Municipal Employees"
"Delegate Kevin Hornberger",NA
"Andrew Gounardes for State Senate","Andrew For New York"
"Gwenn Burud for Texas Senate","Gwenn Burud for Texas Senate Campaign"
"Georgina Cecilia Pérez, Texas State Board of Education District 1",NA
"Kristin Roers for ND District 27 Senate","Kristin Roers for District 27 Senate"
"JD Wooten for NC Senate","Citizens for JD Wooten"
"Jeanne Dietsch, NH State Senate District 9","Jeanne Dietsch for NH Senate, PO Box 3251, Peterborough, NH 03458; Fiscal Agent, Edward Lotkowski"
"Diana DiZoglio","Committee to Elect Diana DiZoglio"
"Chris Meier for New Hampshire Senate District 3 -Carroll County","Chris Meier for NH"
"Claire Celsi - Candidate for IA Senate District 21",NA
"Brad Farrin for Senate","Farrin for Senate"
"Escondido Democrats",NA
"Garden State CARES","Garden State CARES"
"Massachusetts Workplace Anti-Bullying Healthy Workplace Bill","Debra Falzoi"
"Richard Lindsay for WV 8th District State Senate","The Committee to Elect Richard Lindsay"
"Mario Lotmore for Washington State Senate","Friends of Mario Lotmore"
"Campaign To Elect A.G. Crowe - Secretary of State","AG Crowe Campaign"
"Elect Joe Nguyen for State Senate in the 34th LD","People for Joe Nguyen"
"LegalMatch",NA
"Sims for Senate district 15","Supporters & friends of Shaun Sims for Senate"
"Mary Stewart for Iowa Senate","Stewart for Senate"
"John Esp for Senate","Esp for Senate, Ron Arthun, Treasurer, Box 375, Clyde Park, MT 59018"
"Hal Patton for Senate","Citizens for Patton"
"Delegate Jennifer Carroll Foy",NA
"Ben Albritton","Ben Albritton, Republican, for State Senate District 26"
"Ryan Dillon for State Senate","Ryan Dillon for State Senate"
"Liberty Nation","Liberty Nation"
"Brian Strickland for Georgia","Strickland for Georgia"
"Soholt For Senate","Soholt for Senate"
"Larry R Shockey","Larry R Shockey. Views expressed are those of the author only. Copyright 2018."
"Sister District NY 12-13-14","Friends of Sister District NY 12-13-14"
"Colin Schmitt",NA
"Brian Prim for WV Senate","The Committee to Elect Brian Prim"
"Warnock4Oregon","Warnock 4 Oregon "
"Janet Nguyen","Janet Nguyen for Senate, FPPC ID#1373835"
"Crystal Canney for Senate District 27 - Portland","Paid and Authorized by Crystal Canney For Senate, Ed Suslovic Treasurer "
"Below the Fold with Kristin Brey","Kristin Brey"
"Senator Dorsey Ridley","Dorsey Ridley for State Senate"
"South Jersey Area Patriots","Paul DiBartolo"
"Martin Gubbels for State Senate District #3","Martin Gubbels"
"Crysta Parkinson","Friends of Crysta Parkinson"
"Bill Eigel","Eigel For Missouri"
"Mike Carey 4 State Senate","Mike Carey for State Senate"
"Onondaga County Democratic Committee","Onondaga County Democratic Committee"
"Centre County Republicans","Centre County Republicans"
"Delaware House Democratic Caucus","Delaware House Democratic Caucus"
"Bryce for NV State Senate","Bryce for State Senate"
"Jay Livingstone","Committee to Elect Jay Livingstone"
"Louie Luchini for Maine State Senate","Louie Luchini for Senate"
"Carri Hicks For State Senate","Friends of Carri Hicks 2018"
"Re-Elect Ben Chipman for State Senate","Re-Elect Chipman for Senate"
"Jeanie Smith for Kentucky","the Campaign for Jeanie Smith for State Senate"
"Scott Copley for RI Senate District 33","Scott Copley for RI Senate District 33"
"1199 SEIU New Jersey","1199SEIU United Healthcare Workers East"
"Bill Day","and authorized by Bill Day for State Senate 2018"
"Erika Geiss for State Senate","Friends of Erika Geiss | P.O. Box 854 | Taylor, MI 48180"
"Orange Wave - Vote for Gun Safety","Not paid for by any candidates or political organization"
"Bill Coleman","Bill Coleman for State Senate"
"Senator Robert Nichols","Robert Nichols for Texas Senate"
"Elect Jeff Griffith for State Senate District 38",NA
"Jim Gaughran for State Senate","Gaughran 2018"
"Jen Metzger for NY State Senate","Friends of Jen Metzger"
"Ryan Hampton","Ryan Hampton"
"Brandon Smith for State Senate","Brandon Smith for State Senate"
"Ted L. Barney for Senate District 13","Candidate Ted L. Barney"
"Hansen for House","Hansen for House"
"Craig Ford","Craig Ford Campaign"
"National Constitution Center","National Constitution Center "
"John O'Brien For Iowa Senate","Families for John O'Brien"
"Hawai'i Center for Food Safety Action Fund","Hawai'i Center for Food Safety Action Fund"
"Scott Frantz for State Senate","Frantz for State Senate. Robert J. Oca, Treasurer. Approved by Scott Frantz."
"Marilyn Wiles For AZ State Senate - District 10 - Rep.","COMMITTEE TO ELECT MARILYN WILES"
"Disability Rights Ohio","Disability Rights Ohio"
"State Representative Brian W. Stewart","Brian W. Stewart.  "
"Fair Districts PA - Beaver",NA
"Beto for Senate Dallas Grassroots HQ","Cathy H."
"Gary Woronchak for State Senate","Gary Woronchak for State Senate"
"Rachel for Kentucky","Friends of Rachel Roberts"
"Choi for State Senate SD24",NA
"Iowa Soybean Association","the Iowa Soybean Association"
"Misty Servia for County Commission","Misty Servia"
"For Our Future","For Our Future. Not authorized by any candidate or candidate’s committee."
"NextGen Florida","NextGen Climate Action Committee"
"Covenant Tabernacle World Outreach Center","Covenant Tabernacle World Outreach Center"
"Ben Griffin for State Representative","Ben Griffin, Republican, for Florida House, District 49"
"Andrew Gillum","the Florida Democratic Party"
"Andrew Dolberg for State House","Andrew Dolberg, Democrat for Florida House 98"
"CalmEffect","Calm Effect"
"Viviana Janer for Osceola","Viviana Janer, Democrat, for Osceola County Commission, Dist. 2"
"Vote Bobby Hopkins","and approved by Bobby Hopkins, Republican"
"Ken Organes For Florida","Ken Organes, Democrat, For Florida House District 16"
"Merritt for Judge","Committee to Elect Keith Merritt Circuit Court Judge, 10th Circuit, Group 10"
"Tracy Pratt for State Representative, District 71","Tracy Pratt, Democrat for Florida House District 71"
"The Party for Socialism and Liberation - Florida","PSL Florida "
"FAMU College Democrats","Florida Young Democrats"
"Polson for Jacksonville","Tracye Polson, Democrat, For Florida House, District 15"
"Southwest Florida Water Management District","Southwest Florida Water Management District"
"Immigrant and Migrant Rights Project","Florida Legal Services, Inc. "
"Dennis Disrupting","Dennis Mihalsky"
"Citizens for a Better Newton","Citizens for a Better Newton"
"Howland for School Board","Nick Howland for Duval County School Board"
"Deborah Hooker for County Judge","Deborah M. Hooker for County Court Judge "
"People United for Responsible Government","People United for Responsible Government.  Not affiliated with any candidate or candidate committee."
"Deede Weithorn",NA
"Mark484","Mark Gotz, Republican for Florida State House District 84"
"James W. Chandler for Circuit Court Judge","James W. Chandler, Nonpartisan, for Circuit Court Judge"
"Paolo Weston","Paolo Weston for Mayor, West Palm Beach"
"oneKaway",NA
"Chuck Brannan for State Representative","Chuck Brannan, Republican for State Representative District 10."
"Andrew Cuomo","Andrew Cuomo for Governor"
"Central Florida Proud Boys","Tyler Whyte"
"Dr Jim Doran for Monroe County Florida School Board","Dr Jim Doran for Monroe County School Board District 4"
"Stand Up North Florida","Stand Up North Florida"
"Sachs Media Group","Sachs Media Group"
"Illinois Policy","Illinois Policy "
"Answer Suncoast","Answer Suncoast "
"CalmEffect",NA
"Hans Larsson for NH Representative","Hans Larsson for NH State Rep"
"Dr Jim Doran for Monroe County Florida School Board",NA
"Hillsborough County Young Democrats","Hillsborough County Young Democrats"
"Citizens Congress Inc.","Citizens Congress Inc., a 501 C4 non-partisan, non-profit organizetion registered in the state of Florida."
"Christopher Carlos Cano","Christopher Carlos Cano, Democrat for Florida State Representative District 62"
"Kubs Lalchandani","Kubs Lalchandani, Democrat for Florida House 113"
"Bryan A. Lober for Brevard County Commission, District 2","Bryan A. Lober, Republican, for Brevard County Commission, District 2"
"Tween Waters Island Resort & Spa",NA
"Indivisible Action Tampa Bay","Indivisible Action Tampa Bay"
"Chris Crowley for State Attorney","Political advertisement paid for and approved by Chris Crowley, Republican, for State Attorney, 20th Judicial Circuit."
"Derek Kent",NA
"Joseph Gullett","Friends of Joseph Gullett"
"LaShawn Strachan for Hillsborough County Court Judge","LaShawn Strachan for Hillsborough County Court Judge, Group 8"
"Business Voice Political Committee","Business Voice Political Committee, POBOX360822 Melbourne FL 32936 independent of any candidate. This ad was not approved by any candidate. "
"Stephen R. Deutsch for Charlotte County Commissioner","Campaign for Stephen R Deutsch Republican for Charlotte County Commissioner District 4"
"Shannon Braddock for State Senate","Shannon for Senate (D) | 119 1st Ave S Ste 320, Seattle, WA 98104"
"David Stringer","Conservatives for Stringer"
